video_id,genre,label_type,start_sec,end_sec,text,style_tag,labeler_id,notes
game_01,game,stt_utterance,,,,,,"들리는 대사를 그대로 받아쓰기. 전체 대신 30~50개 구간 샘플링 가능"
game_01,game,subtitle,,,,"일반하단 | 컬러 | 테두리그림자 | 큰강조 | 중앙상단 | 예능짧은",,"자막이 화면에 보이는 구간 + 실제 텍스트 + 스타일"
game_01,game,full_cut,,,,,,"[장르 공통, 실제 편집] 화면 전체가 다른 장면으로 편집된 실제 컷 (지점 하나당 한 행, end_sec 비움). 2026-08-23: 원래 게임 전용 3분류였으나 배치16에서 인터뷰 장르에도 필요함이 확인되어 6분류·장르공통으로 확장"
game_01,game,partial_edit,,,,,,"[장르 공통, 실제 편집] 메인 레이아웃은 유지되지만 PIP/인서트 영상 등 화면 일부만 편집으로 교체된 경우 (지점 하나당 한 행, end_sec 비움)"
game_01,game,transition,,,,,,"[장르 공통, 실제 편집] 암전/디졸브 등 의도적인 전환 효과 (지점 하나당 한 행, end_sec 비움). 2026-08-23 신규 추가"
game_01,game,game_visual_change,,,,,,"[장르 공통, 편집 아님/오탐 후보] 게임 자체의 카메라 이동/폭발/스킬 이펙트/장면 전환 등 편집이 아닌 변화 (지점 하나당 한 행, end_sec 비움)"
game_01,game,visual_effect_non_cut,,,,,,"[장르 공통, 편집 아님/오탐 후보] 도네이션 알림/KO 그래픽 등 오버레이 이펙트로 인한 변화, 편집 컷 아님 (지점 하나당 한 행, end_sec 비움). 2026-08-23 신규 추가"
game_01,game,overlay_change,,,,,,"[장르 공통, 편집 아님/오탐 후보] 자막/이름표/질문박스 등 텍스트 그래픽이 등장/소멸하는 순간, 장면 자체는 안 바뀜 (지점 하나당 한 행, end_sec 비움). 2026-08-23 신규 추가, sample_05 배치 분석에서 발견"
game_01,game,static,,,,,labeler1,화면 변화가 적다고 느껴지는 구간 (가능하면 2명이 독립 라벨링)
game_01,game,freeze,,,,,,실제로 화면이 정지된 구간(일시정지 이미지 삽입 등)
game_01,game,loud_spike,,,,,,음량이 갑자기 커지는 구간
game_01,game,quiet_spike,,,,,,음량이 지나치게 낮은 구간
game_01,game,black_frame,,,,,,화면이 완전히 검은 구간
game_01,game,no_subtitle_speech,,,,,,말은 하는데 자막이 없는 구간(의도적으로 비워둔 경우)
